page,product,brand,price,image,type,price_level
https://us.shein.com/Letter-Print-Flap-Chain-Bag-p-797473-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Letter Print Flap Chain Bag,shein,less $50,http://img.ltwebstatic.com/images2_pi/2019/07/17/15633581543604872178_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Straw-Detail-Square-Crossbody-Bag-p-681746-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Straw Detail Square Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images2_pi/2019/02/25/15510798132239791018_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Tassel-Detail-Round-Straw-Crossbody-Bag-p-700844-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Tassel Detail Round Straw Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images2_pi/2019/03/25/155350088583037422_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Geometric-Print-Push-Lock-Chain-Bag-p-759745-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Geometric Print Push Lock Chain Bag,shein,less $50,http://img.ltwebstatic.com/images2_pi/2019/06/03/15595520023889988629_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Studded-Decor-Twist-Lock-Crossbody-Bag-p-1001250-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Studded Decor Twist Lock Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2020/01/07/15783910326876c813a9fe334a04c91a5ea7993ced_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Twist-Lock-Quilted-Chain-Bag-p-963540-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Twist Lock Quilted Chain Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/11/1576051121a60c60c05566031152357770626087e2_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Woven-Chain-Crossbody-Bag-p-743222-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Woven Chain Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/07/15757015352d4b926daed09b34ac303baf01ecb007_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Tassel-Decor-Woven-Bag-With-Drawstring-p-740864-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Tassel Decor Woven Bag With Drawstring,shein,less $50,http://img.ltwebstatic.com/images2_pi/2019/05/11/1557558896622941513_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Snakeskin-Print-Flap-Chain-Crossbody-Bag-p-877992-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Snakeskin Print Flap Chain Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/10/15/1571133511028e2634918fad8306fe1a70f88a4abd_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Geometric-Decor-Tweed-Crossbody-Bag-p-916811-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Geometric Decor Tweed Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/08/1573184189288e39ab903fded01f01141b082b6304_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Fluffy-Heart-Shaped-Chain-Crossbody-Bag-p-816143-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Fluffy Heart Shaped Chain Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images2_pi/2019/09/09/15680227251104390107_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Ruched-Woven-Clutch-Bag-p-938592-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Ruched Woven Clutch Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/11/22/15744191058918aaf869fa78e4a11f71482e78a45f_thumbnail_405x552.jpg,shein_crossbody,less 50
https://us.shein.com/Minimalist-Crossbody-Bag-p-976030-cat-2152.html?scici=navbar_2~~tab01navbar07menu05~~7_5~~real_2043~~SPcCccWomenCategory_default~~0~~0,Minimalist Crossbody Bag,shein,less $50,http://img.ltwebstatic.com/images3_pi/2019/12/19/15767450704c7a83a93d9c0ec6ce89422442bb20f9_thumbnail_405x552.jpg,shein_crossbody,less 50
